memory_matrix_accuracy,memory_matrix_avg_time,pattern_sequence_accuracy,pattern_sequence_avg_time,multi_switch_accuracy,switch_cost_ms,dual_task_memory_accuracy,dual_task_math_accuracy,cpt_accuracy,cpt_false_positives,keep_track_accuracy,operation_span_processing_accuracy,operation_span_storage_accuracy,find_the_box_accuracy,color_number_accuracy,color_number_false_clicks,rule_discovery_accuracy,average_rule_guesses,average_discovery_time_ms,overall_score,behavior_profile
56.57,1289.84,67.98,1521.96,74.38,595.69,60.21,54.68,69.8,8,54.69,62.33,56.28,61.85,52.14,5,56.33,3.57,6433.19,63.56,Inconsistent
76.45,1119.53,94.5,1158.6,86.26,308.66,89.2,100.0,82.51,0,92.26,96.43,91.44,77.16,100.0,1,88.17,2.35,5602.87,89.68,Efficient
59.78,1212.51,44.58,1037.43,49.77,504.02,42.31,48.29,42.85,5,37.99,42.2,60.53,37.35,63.22,8,60.47,5.23,6392.04,49.13,Impulsive
89.29,1736.59,96.48,1809.5,81.01,452.88,100.0,91.53,97.18,0,79.92,86.77,78.93,100.0,92.89,0,99.32,2.56,5239.27,98.36,Careful
28.53,1201.23,25.69,1002.19,25.48,423.79,38.75,31.89,28.77,10,51.41,20.0,34.53,21.75,28.89,7,31.48,5.02,7470.6,31.27,Impulsive
100.0,982.65,100.0,744.08,100.0,384.29,91.39,100.0,98.1,1,100.0,100.0,87.64,100.0,100.0,0,97.57,2.19,4953.18,96.92,Efficient
25.06,1064.4,28.51,1141.08,30.8,276.91,43.88,30.0,27.82,6,37.18,32.53,40.59,26.17,35.95,7,56.49,4.39,7662.53,34.62,Impulsive
51.49,1085.17,58.08,717.77,54.15,454.53,43.51,57.79,54.65,8,70.02,52.68,64.05,44.57,46.49,8,61.2,4.35,5898.67,54.2,Impulsive
45.01,1748.67,46.18,1338.58,37.25,742.81,32.67,32.18,42.17,6,44.27,35.31,41.86,46.21,46.59,7,55.62,4.21,6651.9,38.22,Inconsistent
42.55,2046.31,39.42,1843.33,56.54,627.27,57.12,60.98,43.43,7,49.14,70.41,48.57,46.49,50.83,5,55.76,3.45,7512.49,49.3,Inconsistent
47.38,1232.89,46.24,1260.6,47.08,554.01,47.92,46.53,55.14,9,56.74,63.93,46.7,43.5,39.04,7,42.11,5.02,6030.75,51.99,Impulsive
54.32,1456.28,75.75,1850.39,67.22,659.87,71.84,51.38,46.74,1,55.35,77.82,55.12,66.11,49.49,4,50.23,3.13,5897.56,60.76,Inconsistent
55.26,1541.71,47.89,1635.76,55.0,474.95,49.71,49.04,43.9,7,53.7,61.52,52.5,52.27,65.15,7,64.32,4.19,7134.28,51.17,Impulsive
84.69,1695.94,87.46,2272.2,100.0,438.75,90.52,79.38,77.66,2,84.64,92.79,84.53,90.63,84.84,0,92.75,2.58,5184.09,87.93,Careful
68.24,981.87,56.86,982.63,63.82,363.52,58.46,58.34,48.86,9,45.6,50.54,61.69,61.31,65.3,6,54.54,3.96,6246.53,60.84,Impulsive
20.0,1915.17,20.0,1909.39,20.8,559.84,25.8,20.0,20.0,1,20.0,20.0,20.0,20.0,20.0,0,20.0,4.87,8438.78,15.92,Inconsistent
100.0,1348.78,100.0,850.56,100.0,381.29,94.15,100.0,97.89,0,100.0,94.24,96.71,100.0,81.93,0,100.0,3.11,5344.29,97.01,Efficient
85.97,1930.85,79.58,2653.49,74.41,664.29,93.3,70.47,78.06,1,77.48,83.26,77.16,93.75,71.09,1,100.0,2.64,5695.2,80.08,Careful
63.77,930.56,53.9,917.72,57.24,403.8,61.24,68.49,56.89,10,45.78,45.19,50.45,50.02,59.28,8,49.82,3.77,5767.35,54.42,Impulsive
64.85,1268.9,68.85,1540.92,43.75,371.15,79.87,75.88,64.46,7,51.86,72.84,57.61,67.43,52.9,5,83.2,4.03,5699.18,67.23,Inconsistent
81.36,1694.91,90.28,1172.42,78.77,410.24,74.69,91.64,82.67,4,81.8,87.37,82.51,83.76,70.63,2,75.64,2.91,4966.89,80.15,Efficient
70.57,1415.87,100.0,1219.64,100.0,278.29,80.95,76.18,96.44,4,70.75,95.93,92.8,84.91,98.85,0,81.77,2.45,5760.78,90.8,Efficient
80.73,1458.18,81.69,1635.14,77.03,363.44,92.85,78.36,83.38,4,85.01,96.77,83.39,100.0,81.18,2,82.09,2.48,5386.71,84.41,Efficient
42.33,1155.01,54.57,1522.2,40.27,481.24,44.19,57.2,41.52,7,70.11,52.78,46.27,43.66,56.39,6,39.41,3.39,7286.43,48.23,Impulsive
63.47,910.72,65.11,996.38,76.08,262.52,78.94,71.4,66.83,5,68.53,67.58,77.34,67.36,65.39,7,57.31,3.08,4925.09,72.08,Impulsive
53.36,1221.27,46.99,1298.77,66.17,371.76,48.93,41.99,65.02,10,43.21,54.05,48.4,51.38,74.96,7,56.26,4.17,5810.06,56.3,Impulsive
48.37,863.23,42.35,947.91,57.1,542.0,57.64,49.81,53.28,10,70.69,65.51,48.41,54.96,61.75,6,52.87,4.0,6115.86,52.13,Impulsive
100.0,1129.39,95.1,1301.8,88.2,360.66,98.87,100.0,100.0,1,96.98,100.0,100.0,81.83,100.0,1,98.1,2.32,5361.25,95.66,Efficient
78.82,1903.07,80.74,1669.65,100.0,350.63,77.05,81.67,77.79,0,82.19,83.45,78.77,97.26,93.89,0,76.13,3.05,4947.48,87.3,Careful
92.63,1582.55,80.71,1484.44,81.49,250.37,80.97,95.95,100.0,2,100.0,76.85,100.0,99.51,79.65,0,89.29,2.45,5793.97,90.08,Efficient
98.73,1689.54,86.4,1988.26,81.27,593.56,83.91,95.38,85.87,0,100.0,95.18,96.96,86.71,85.09,2,90.36,2.65,5825.53,94.29,Careful
52.5,1331.55,53.85,1418.39,70.4,539.42,55.62,64.31,57.67,10,55.03,64.74,61.0,44.58,58.24,7,47.9,4.11,5702.75,62.71,Impulsive
69.74,1971.78,69.18,1772.63,65.11,522.39,66.21,68.04,75.88,0,82.2,76.63,64.91,78.54,77.05,3,45.82,3.23,6371.45,66.83,Careful
80.81,1780.37,78.79,1810.86,73.28,377.19,72.63,71.54,87.78,3,75.75,96.17,71.45,77.76,68.74,2,83.68,3.35,5152.78,79.42,Careful
82.82,1715.13,78.96,1981.04,81.69,574.82,94.45,98.02,82.0,0,80.42,76.94,96.65,95.17,85.35,1,73.64,3.36,5150.8,88.3,Careful
80.5,1848.43,92.42,1767.45,80.35,442.36,75.83,70.53,87.24,1,76.19,76.97,88.01,96.03,81.61,2,78.36,2.86,6462.08,82.37,Careful
49.29,1003.45,48.63,999.05,42.22,347.54,45.76,43.97,39.77,11,68.41,49.94,50.05,57.75,27.35,11,68.15,4.9,6347.52,44.39,Impulsive
86.71,2361.73,81.6,2339.14,88.21,692.34,96.59,94.24,84.8,1,92.32,93.57,93.23,83.58,92.72,0,99.73,2.2,5233.85,86.09,Careful
91.84,1155.5,95.22,1149.46,97.41,358.32,100.0,100.0,92.37,0,100.0,97.12,84.52,93.78,95.91,3,87.45,1.45,4980.7,95.76,Efficient
99.67,1134.76,100.0,1264.87,98.72,193.53,80.63,91.1,99.5,1,90.31,100.0,94.82,96.01,100.0,3,93.68,2.5,5797.68,92.23,Efficient
65.61,1873.28,86.98,2051.62,72.16,459.92,59.42,65.51,63.97,4,65.87,55.69,73.44,63.02,71.42,4,60.75,3.81,5602.0,68.35,Inconsistent
72.71,1758.45,78.68,1839.99,77.55,710.54,71.01,74.3,75.59,4,83.4,70.53,71.06,74.55,82.05,2,84.08,2.94,4618.46,77.55,Inconsistent
65.48,1224.96,58.89,940.63,46.92,584.01,77.1,58.02,60.56,5,61.45,55.31,52.43,75.23,66.28,6,65.65,3.07,4981.01,62.56,Impulsive
74.3,2123.58,50.47,1810.53,62.46,675.65,71.96,71.86,71.44,5,70.0,59.19,62.11,86.87,58.27,0,55.6,3.35,5045.84,68.93,Careful
51.16,1429.27,46.41,1267.67,45.56,490.73,42.66,57.89,48.3,2,52.13,49.55,47.94,52.25,53.74,2,50.89,3.08,7115.21,50.54,Inconsistent
89.51,2195.24,85.58,2000.01,77.66,576.38,76.5,94.07,87.19,3,84.08,88.91,95.21,90.29,83.6,2,99.88,2.86,5592.23,88.74,Careful
85.24,1759.6,86.17,1886.05,93.54,396.24,95.16,96.23,89.85,0,92.93,88.51,75.92,88.13,86.85,2,80.51,1.91,5068.31,85.29,Careful
76.53,1999.53,62.21,1590.68,64.18,671.99,62.83,59.62,63.12,7,59.65,44.64,69.19,75.81,53.59,1,59.19,3.25,6728.49,65.37,Inconsistent
70.9,1951.31,82.23,1685.34,83.4,715.69,89.72,72.92,75.7,5,85.88,91.9,75.86,70.72,78.07,6,71.48,2.0,4185.48,81.7,Inconsistent
69.22,1377.92,72.07,1410.64,71.38,485.47,75.58,64.63,73.47,5,63.39,69.02,58.42,69.08,67.73,4,80.81,3.28,5714.35,69.42,Impulsive
76.93,1754.76,73.21,1725.43,66.78,537.15,88.34,77.07,85.96,0,66.67,82.3,66.72,97.82,64.43,1,94.42,3.24,5702.94,78.9,Careful
52.83,1797.63,65.54,1914.79,43.89,881.47,68.47,55.14,57.22,5,52.15,41.98,54.2,57.99,60.72,7,53.53,3.4,6209.66,56.85,Inconsistent
78.0,1637.56,77.52,1857.23,71.02,373.44,75.8,88.07,73.4,0,67.09,85.78,82.18,73.27,65.58,1,71.54,1.91,6335.65,72.17,Careful
86.49,1937.85,95.69,2005.13,79.96,667.38,93.09,85.05,87.91,0,87.27,89.14,94.48,90.18,97.93,2,99.87,3.16,5437.31,94.98,Careful
45.92,1087.99,51.55,1059.43,48.18,483.87,73.46,50.6,51.68,9,44.55,43.21,38.13,48.75,49.69,9,61.11,4.62,6280.69,47.66,Impulsive
37.61,793.24,33.29,1051.08,32.08,452.54,30.64,35.52,33.63,8,21.69,46.72,34.58,30.68,27.51,6,43.48,4.21,7024.58,34.39,Impulsive
97.69,1623.18,89.89,1865.89,88.74,301.37,77.37,85.23,84.72,2,83.45,86.18,93.78,91.89,97.48,0,93.03,1.69,5566.4,88.8,Careful
85.49,1687.66,83.24,1729.71,71.84,387.81,85.55,77.37,73.24,1,87.36,71.94,78.58,83.77,80.84,0,75.8,2.27,5399.01,77.98,Careful
62.55,2169.27,63.55,2272.15,56.68,745.16,48.12,55.45,67.5,6,52.05,51.23,63.72,64.26,48.08,7,52.51,3.94,7757.34,58.89,Inconsistent
82.89,1570.48,98.89,1256.6,76.59,389.91,76.05,78.18,89.62,2,89.81,80.37,82.11,86.84,78.32,3,94.02,3.47,5050.38,85.15,Efficient
80.11,1466.45,81.4,1227.48,92.84,446.43,89.28,91.68,86.7,2,98.85,98.04,92.34,100.0,95.55,1,84.08,2.32,5826.25,89.61,Efficient
79.18,1146.88,81.86,1243.41,81.8,515.87,80.33,73.88,94.58,8,87.42,83.22,91.09,88.79,87.23,6,91.19,3.6,4700.74,86.28,Impulsive
83.16,1066.43,100.0,1120.07,65.62,466.31,89.48,90.91,89.11,5,93.17,90.06,93.17,84.36,77.5,3,88.76,3.05,5206.62,89.09,Efficient
100.0,1816.11,97.9,2059.25,68.24,518.51,84.49,91.47,83.96,2,81.39,87.2,93.32,95.49,87.62,1,86.56,2.03,4991.5,90.31,Careful
37.86,1284.21,57.36,1341.16,35.47,543.02,55.85,46.19,32.65,5,31.59,40.82,40.11,36.1,35.0,7,53.22,4.39,8681.9,43.14,Inconsistent
83.1,1399.8,80.81,1418.72,80.73,287.98,100.0,94.23,94.56,1,91.08,95.04,100.0,94.25,100.0,0,90.65,2.48,4987.74,90.06,Efficient
57.13,1464.22,65.68,1567.63,50.56,370.02,44.5,67.02,53.69,7,60.02,46.77,55.98,44.1,53.38,8,47.04,4.13,5690.77,55.51,Inconsistent
52.03,1244.15,50.1,1500.3,49.55,467.62,31.67,62.67,44.63,8,61.04,53.08,45.23,63.43,51.62,6,45.03,3.83,6211.26,55.24,Impulsive
88.47,1313.34,90.34,1027.41,97.36,194.62,84.28,76.11,77.77,1,92.65,89.13,85.29,82.65,88.79,0,89.23,2.17,6195.04,81.41,Efficient
58.59,1246.49,59.45,1328.39,61.71,419.21,52.13,50.88,53.04,8,60.15,66.61,50.03,51.58,53.96,8,51.32,3.79,7417.91,55.78,Impulsive
20.0,1923.87,22.39,2124.04,20.0,607.51,33.35,40.23,32.91,5,35.36,22.49,33.7,24.56,31.22,6,35.26,4.63,7101.95,27.29,Inconsistent
67.61,1814.21,68.21,1976.08,76.01,576.49,71.79,61.15,71.07,2,67.6,62.15,56.92,74.63,73.2,3,74.64,3.24,4778.19,66.75,Inconsistent
83.08,2167.39,97.44,1911.39,86.44,379.82,97.84,88.29,89.08,0,79.7,73.97,78.98,82.48,77.55,0,73.56,2.37,5415.36,85.96,Careful
97.01,1930.81,96.18,1606.06,100.0,771.61,100.0,100.0,94.13,0,100.0,88.27,100.0,93.17,83.85,0,100.0,2.19,4502.05,94.34,Inconsistent
82.3,1722.29,89.44,1830.68,98.22,459.38,75.74,78.13,72.19,2,84.84,82.8,91.9,81.57,81.13,0,83.56,3.05,5952.31,82.69,Careful
65.97,1402.77,65.2,1253.46,66.25,424.83,62.32,61.28,58.9,6,72.19,54.89,60.53,44.94,47.16,6,74.94,3.28,6042.12,63.31,Impulsive
50.97,919.14,57.82,535.75,54.87,461.69,58.86,44.43,53.93,12,49.52,56.18,37.64,50.06,57.54,7,59.54,3.88,6826.92,55.1,Impulsive
38.69,1453.56,47.84,1304.72,51.04,564.94,56.26,41.55,39.41,5,46.96,33.89,33.0,37.79,40.46,5,22.13,4.01,6840.65,40.85,Impulsive
91.81,1511.95,80.67,1897.99,89.83,339.94,83.71,98.33,94.18,0,95.52,100.0,87.44,85.69,87.25,1,75.66,2.41,5710.32,89.22,Careful
100.0,1244.64,100.0,1249.54,100.0,332.65,100.0,100.0,100.0,1,100.0,100.0,94.7,100.0,100.0,0,100.0,2.86,4540.47,100.0,Efficient
89.01,660.34,98.27,991.38,97.26,344.63,89.37,100.0,88.56,1,89.18,100.0,100.0,90.99,96.15,2,95.25,2.95,4786.24,91.31,Efficient
47.87,892.88,38.07,959.65,49.52,344.71,41.91,40.04,40.27,8,33.19,32.16,26.68,33.97,56.95,5,26.39,4.3,6540.96,38.64,Impulsive
96.48,1582.81,88.53,1602.76,95.93,428.33,97.57,93.35,88.02,0,99.92,98.93,96.77,85.56,81.58,0,92.92,2.49,5129.4,95.35,Efficient
52.49,925.26,55.51,1202.93,55.61,475.66,59.85,52.3,56.94,10,53.7,60.12,41.95,33.42,64.28,8,49.14,3.8,6779.41,50.11,Impulsive
87.41,1291.61,77.83,1282.83,76.72,351.84,84.05,85.84,91.89,1,87.65,89.69,81.26,81.31,78.93,3,85.66,2.89,5781.5,85.28,Efficient
98.18,1050.75,99.96,1081.0,100.0,259.93,76.83,100.0,100.0,1,92.56,86.91,100.0,84.01,100.0,0,100.0,2.07,4930.41,91.88,Efficient
75.74,2431.65,87.03,2061.05,97.87,657.54,77.17,81.25,73.44,8,82.14,84.36,98.87,75.6,90.79,6,85.78,3.35,5379.72,79.95,Inconsistent
80.72,2002.78,81.71,1722.97,79.93,711.7,85.95,84.68,90.2,8,75.97,75.9,80.33,79.45,87.97,5,71.57,3.15,5936.24,80.75,Inconsistent
94.49,2280.39,86.25,2079.67,100.0,645.61,97.95,83.77,88.57,0,85.38,90.95,96.48,76.65,75.58,0,83.96,1.85,4642.77,86.92,Careful
50.08,1075.29,42.81,1049.2,50.86,578.02,50.05,46.86,53.86,8,54.84,48.47,51.77,70.19,69.89,7,43.44,4.78,6371.73,54.5,Impulsive
88.41,1210.06,83.82,1010.69,75.73,425.89,78.87,85.54,70.97,2,87.58,92.11,91.34,93.45,77.98,3,93.53,3.22,4973.34,85.01,Efficient
98.97,1257.42,91.07,1360.73,100.0,341.87,100.0,100.0,95.12,1,100.0,100.0,97.41,100.0,90.32,1,98.79,2.22,4818.71,100.0,Efficient
70.76,1104.68,79.4,1449.55,74.77,478.19,78.94,82.89,77.0,3,76.81,87.73,80.16,77.4,76.18,3,70.75,2.76,5397.57,73.82,Efficient
56.48,1246.67,48.03,1410.25,51.96,443.76,52.28,46.37,47.89,12,60.59,49.15,43.75,52.16,53.45,9,34.76,4.65,8166.99,51.99,Impulsive
95.32,1396.18,83.63,1250.04,79.66,252.33,85.83,80.35,86.27,0,81.26,86.4,86.5,90.2,87.37,0,80.9,2.05,5898.6,88.0,Efficient
41.01,1389.12,29.9,1655.76,31.39,479.42,27.09,38.5,42.26,7,38.16,36.76,20.0,33.16,39.15,7,44.77,5.01,8040.41,30.79,Impulsive
56.36,1151.27,59.9,1140.91,58.47,310.65,69.35,61.77,52.11,10,56.98,64.65,45.75,69.46,47.15,5,61.45,3.43,7094.92,62.62,Impulsive
70.5,1041.99,66.31,1300.1,71.99,493.73,72.97,80.7,67.9,8,61.22,62.05,86.41,52.43,57.95,9,67.7,3.17,5300.87,71.64,Impulsive
61.86,841.07,63.33,787.85,55.62,454.2,50.07,52.64,61.95,8,59.32,49.9,61.35,59.11,52.27,6,58.32,3.88,6004.59,58.92,Impulsive
87.6,1372.02,87.18,1390.72,81.64,398.2,100.0,100.0,92.76,1,90.83,100.0,100.0,85.18,93.08,1,89.46,3.1,4650.39,93.63,Efficient
100.0,1289.85,100.0,1262.7,86.54,492.47,92.35,89.88,100.0,3,99.28,86.79,96.4,85.96,97.49,1,83.01,2.73,4002.68,91.43,Efficient
91.14,1599.21,87.52,1436.81,94.7,463.14,90.01,82.48,98.14,0,86.12,93.64,78.72,95.37,76.12,1,100.0,2.9,5553.47,90.22,Efficient
57.77,1576.75,65.53,962.76,52.73,627.65,47.88,41.36,56.73,6,45.63,71.64,75.09,51.15,39.53,6,58.74,4.17,6980.22,55.16,Impulsive
69.37,2157.11,76.46,2174.01,69.19,649.37,60.61,64.03,56.01,4,77.46,73.63,59.77,72.58,71.86,3,67.16,3.14,6530.84,73.17,Inconsistent
